Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
07.01.2016,1,1,29,51,6,0,10,16,115
06.01.2016,1,1,20,18,2,0,3,15,43
05.01.2016,2,3,15,34,7,2,5,2,171
04.01.2016,1,1,26,31,5,1,4,15,100
03.01.2016,0,1,15,12,1,0,1,6,40
02.01.2016,2,2,19,16,1,0,4,10,63
01.01.2016,3,6,17,24,1,0,1,27,44
31.12.2015,4,1,20,24,4,1,3,9,113
30.12.2015,4,2,27,36,5,0,5,17,123
29.12.2015,3,1,24,42,5,0,6,12,112
28.12.2015,1,3,38,48,5,0,5,28,169
27.12.2015,3,3,19,18,9,2,9,21,50
26.12.2015,2,1,21,8,2,0,3,11,40
25.12.2015,4,1,20,9,1,0,4,12,31
24.12.2015,2,4,18,19,4,0,6,21,112
23.12.2015,3,1,29,41,7,0,9,15,218
22.12.2015,1,2,33,41,14,1,14,15,199
21.12.2015,1,1,30,44,18,3,17,16,255
20.12.2015,3,9,25,27,11,1,16,28,86
19.12.2015,5,1,36,35,5,1,5,20,149
18.12.2015,3,2,36,48,16,2,17,15,244
17.12.2015,3,1,26,38,22,3,20,11,217
16.12.2015,3,2,33,46,9,0,11,23,185
15.12.2015,3,4,32,55,6,1,5,11,162
14.12.2015,2,2,27,53,7,1,6,12,140
13.12.2015,3,6,28,26,3,0,5,28,186
12.12.2015,4,2,26,36,9,2,8,24,136
11.12.2015,4,1,20,51,9,2,7,8,199
10.12.2015,3,1,29,52,8,1,9,17,205
03.12.2015,4,0,38,41,7,1,7,16,179
02.12.2015,1,1,29,54,15,2,13,18,194
01.12.2015,2,1,34,44,8,0,8,14,197
30.11.2015,3,3,29,58,14,2,13,27,182
29.11.2015,3,5,26,29,5,0,5,32,93
28.11.2015,3,2,23,37,2,0,3,60,87
27.11.2015,3,1,36,55,5,0,7,9,172
26.11.2015,2,1,29,37,3,0,3,9,168
25.11.2015,5,0,19,42,10,1,9,10,177
24.11.2015,3,0,28,54,5,0,5,6,171
23.11.2015,4,2,30,64,11,1,21,14,228
22.11.2015,2,5,17,27,3,0,4,23,66
21.11.2015,2,4,29,29,10,1,15,16,129
20.11.2015,4,4,30,47,10,1,9,15,186
19.11.2015,5,0,28,50,7,0,8,9,177
18.11.2015,2,2,33,35,4,0,5,12,204
17.11.2015,1,0,29,50,10,1,15,12,161
16.11.2015,1,0,32,61,17,1,19,44,188
13.11.2015,1,1,25,44,8,0,12,21,145
14.11.2015,3,4,25,32,7,0,8,25,122
15.11.2015,1,3,28,22,10,1,10,15,102
12.11.2015,1,5,35,54,2,0,8,19,163
