Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
18.09.2014,1,1,31,65,8,0,10,25,146
17.09.2014,2,5,21,82,8,0,8,33,146
16.09.2014,1,3,30,72,11,0,18,54,155
15.09.2014,1,7,33,75,7,0,11,30,146
14.09.2014,2,7,23,32,2,2,0,55,81
13.09.2014,0,4,25,46,8,0,10,50,79
12.09.2014,5,3,41,65,13,1,17,23,167
11.09.2014,1,3,28,63,6,0,9,30,179
10.09.2014,4,1,33,75,11,2,10,29,160
09.09.2014,5,5,31,81,10,1,11,22,147
08.09.2014,7,5,41,71,5,0,7,35,141
06.09.2014,6,3,21,50,14,0,15,26,103
07.09.2014,6,6,27,51,5,0,11,33,70
04.09.2014,3,0,41,70,13,0,15,24,157
05.09.2014,6,1,49,71,16,1,20,26,171
02.09.2014,4,2,24,81,7,0,10,12,132
03.09.2014,3,2,39,79,7,0,8,15,114
01.09.2014,11,7,45,92,5,0,4,23,143
31.08.2014,2,4,31,42,11,1,21,43,104
30.08.2014,3,6,23,46,15,0,20,37,107
29.08.2014,4,2,28,57,12,0,13,26,153
28.08.2014,2,4,27,89,6,0,6,16,139
24.08.2014,3,0,22,23,5,1,6,29,94
25.08.2014,5,1,36,81,6,3,6,27,120
26.08.2014,5,0,35,69,7,0,8,28,197
27.08.2014,0,3,36,89,9,0,10,26,177
23.08.2014,6,3,27,58,8,1,10,30,115
22.08.2014,2,2,38,49,9,1,10,13,126
21.08.2014,5,0,23,52,8,0,13,16,138
20.08.2014,2,0,32,76,8,0,8,21,139
19.08.2014,0,1,22,64,9,1,10,20,166
18.08.2014,4,2,40,100,6,1,5,65,125
17.08.2014,4,3,28,28,4,0,4,19,55
16.08.2014,6,2,27,42,8,1,14,35,99
15.08.2014,3,1,29,39,7,1,7,35,59
14.08.2014,3,4,25,62,8,0,8,17,141
13.08.2014,4,0,32,76,11,0,11,16,132
12.08.2014,2,2,21,62,11,0,14,21,119
11.08.2014,2,0,37,66,10,0,11,27,160
10.08.2014,3,6,19,27,5,1,4,62,74
09.08.2014,6,3,18,56,12,0,16,53,100
08.08.2014,2,1,28,63,12,0,12,22,114
07.08.2014,6,0,19,66,8,0,12,18,113
06.08.2014,2,3,20,64,10,0,10,14,125
05.08.2014,1,4,32,72,9,0,11,21,122
04.08.2014,4,2,51,77,13,0,16,143,27
03.08.2014,1,2,22,33,9,0,10,37,60
01.08.2014,3,1,31,65,8,0,9,22,131
02.08.2014,2,5,23,36,5,2,10,40,77
31.07.2014,2,0,37,70,5,0,7,19,130
30.07.2014,2,1,34,67,10,0,12,55,113
29.07.2014,2,6,33,70,8,0,8,20,100
28.07.2014,7,4,36,76,12,1,17,24,81
27.07.2014,5,7,24,40,11,0,19,63,60
25.07.2014,3,2,46,63,12,2,15,20,113
26.07.2014,5,2,25,52,9,0,14,58,75
24.07.2014,2,4,31,50,11,0,16,22,153
23.07.2014,1,1,25,53,10,2,8,20,141
22.07.2014,2,2,33,73,11,2,13,16,154
18.07.2014,2,0,20,68,12,0,20,33,126
19.07.2014,4,4,22,48,10,0,13,42,117
20.07.2014,5,6,29,42,8,1,8,41,70
21.07.2014,6,2,42,86,9,2,12,29,107
17.07.2014,4,0,33,75,12,1,14,27,130
16.07.2014,3,2,34,66,12,1,14,21,123
15.07.2014,3,2,26,65,8,0,11,19,143
14.07.2014,5,2,34,71,10,1,9,83,150
13.07.2014,1,2,21,42,10,0,10,39,57
12.07.2014,3,1,18,55,5,0,6,25,86
11.07.2014,3,4,37,67,16,0,18,35,143
10.07.2014,3,3,31,67,5,1,5,17,155
09.07.2014,2,1,30,63,7,0,8,28,165
08.07.2014,7,2,28,51,14,1,13,17,129
07.07.2014,3,4,35,85,14,0,17,33,155
06.07.2014,1,5,20,37,11,3,12,44,77
05.07.2014,3,2,26,51,13,1,15,42,102
04.07.2014,4,0,34,63,10,1,10,24,162
03.07.2014,3,0,42,54,9,0,9,24,141
02.07.2014,6,1,28,62,9,0,11,29,123
01.07.2014,1,0,30,69,9,3,7,29,136
30.06.2014,3,3,33,60,14,1,15,17,192
29.06.2014,6,3,22,35,10,2,12,45,81
28.06.2014,4,2,27,42,10,1,14,41,128
27.06.2014,4,3,36,74,7,0,10,23,146
26.06.2014,1,2,24,76,11,0,12,14,140
25.06.2014,3,1,32,55,10,0,12,14,147
24.06.2014,2,2,41,77,7,0,7,18,110
23.06.2014,0,2,49,88,13,0,14,44,150
22.06.2014,0,3,25,39,7,0,7,40,89
21.06.2014,4,0,25,44,3,0,5,30,78
20.06.2014,4,3,36,62,6,0,6,32,114
11.06.2014,2,3,26,86,6,0,10,25,155
10.06.2014,4,0,24,75,14,0,16,27,168
09.06.2014,5,5,33,98,10,0,11,32,177
08.06.2014,3,6,15,34,16,2,17,63,73
07.06.2014,3,3,28,47,6,0,11,44,126
06.06.2014,3,2,46,62,18,0,23,52,190
05.06.2014,1,0,37,63,10,1,15,25,190
04.06.2014,3,0,34,51,9,0,9,18,139
03.06.2014,2,3,38,68,12,3,12,22,160
02.06.2014,4,3,45,75,6,0,7,62,154
01.06.2014,6,0,21,40,4,0,4,36,64
31.05.2014,1,2,39,28,10,1,20,33,113
30.05.2014,5,2,36,64,12,1,13,16,147
29.05.2014,4,1,29,66,19,0,29,25,204
28.05.2014,4,0,38,80,9,1,11,20,139
27.05.2014,3,3,34,66,7,0,8,24,156
26.05.2014,7,5,31,67,16,3,14,17,149
25.05.2014,5,3,21,48,5,0,6,44,73
24.05.2014,1,4,26,54,27,2,37,30,127
23.05.2014,4,3,27,72,3,1,15,32,205
22.05.2014,4,3,37,57,14,0,19,18,160
21.05.2014,2,1,35,60,9,0,9,12,130
20.05.2014,2,3,43,78,13,1,14,21,168
19.05.2014,2,1,49,88,9,0,12,31,125
18.05.2014,2,3,32,36,4,1,5,33,57
17.05.2014,5,1,22,36,14,1,17,43,130
16.05.2014,2,1,45,42,7,0,8,22,205
15.05.2014,2,1,36,55,8,0,9,15,170
14.05.2014,3,3,29,90,16,1,20,24,203
13.05.2014,6,2,37,76,7,1,6,45,142
12.05.2014,8,3,37,87,9,0,10,31,193
11.05.2014,2,2,20,33,5,0,6,29,68
10.05.2014,2,0,30,52,10,1,12,31,133
09.05.2014,3,0,29,52,16,0,22,23,140
08.05.2014,2,1,39,74,10,0,12,55,155
07.05.2014,1,0,29,79,10,0,14,19,140
06.05.2014,4,0,36,65,14,2,16,11,140
05.05.2014,3,2,43,77,6,0,8,39,124
04.05.2014,2,0,35,29,5,0,6,25,67
03.05.2014,3,3,23,20,5,0,6,21,53
02.05.2014,3,5,27,56,3,0,5,33,100
01.05.2014,4,5,29,27,5,1,5,27,74
30.04.2014,1,2,37,71,14,0,14,20,173
29.04.2014,3,3,30,64,11,0,11,14,151
28.04.2014,3,4,28,72,7,3,4,45,141
27.04.2014,6,2,33,29,4,0,9,35,73
26.04.2014,2,2,41,64,4,0,4,25,128
25.04.2014,7,4,38,76,8,0,9,21,151
24.04.2014,0,1,32,66,9,0,11,10,132
23.04.2014,3,2,34,48,5,1,4,28,162
22.04.2014,5,3,50,66,6,0,6,80,135
21.04.2014,1,7,25,13,4,0,4,25,55
20.04.2014,1,6,17,16,4,0,4,25,41
19.04.2014,1,4,26,30,14,3,18,37,97
18.04.2014,2,3,32,54,18,2,22,48,159
17.04.2014,3,1,39,57,17,0,20,10,172
16.04.2014,1,2,25,61,6,0,6,17,155
15.04.2014,6,2,38,65,13,0,17,17,203
14.04.2014,2,1,41,73,12,1,14,27,205
13.04.2014,3,2,23,34,5,0,7,34,70
11.04.2014,8,3,30,63,7,0,8,26,146
12.04.2014,7,2,34,33,7,1,6,32,121
10.04.2014,5,1,27,64,7,0,11,20,224
07.04.2014,3,0,34,76,14,1,15,46,144
08.04.2014,2,4,29,77,9,0,10,29,171
09.04.2014,4,1,34,60,11,1,11,8,138
06.04.2014,4,5,25,32,6,0,7,54,75
05.04.2014,4,4,30,36,7,0,11,32,82
04.04.2014,2,1,43,90,11,0,11,24,164
03.04.2014,4,3,39,73,14,0,18,24,138
02.04.2014,2,2,42,62,4,0,5,15,140
01.04.2014,4,1,46,82,9,0,14,18,131
31.03.2014,7,4,38,61,5,0,5,49,139
30.03.2014,4,4,24,36,11,2,13,34,77
29.03.2014,7,0,37,63,13,1,12,37,101
28.03.2014,1,5,36,59,12,2,15,16,139
27.03.2014,5,1,29,66,11,0,12,17,141
26.03.2014,1,2,41,73,6,0,6,20,133
25.03.2014,2,5,28,72,5,0,6,11,147
24.03.2014,5,2,36,91,8,1,8,38,132
23.03.2014,3,1,23,35,10,2,14,29,91
22.03.2014,2,0,39,43,8,0,9,30,84
21.03.2014,3,0,50,60,18,0,18,22,170
20.03.2014,3,2,48,82,6,0,7,20,152
19.03.2014,4,3,37,67,15,1,18,12,169
18.03.2014,2,2,41,83,12,1,14,55,123
17.03.2014,7,3,55,75,5,0,5,22,135
16.03.2014,3,2,29,33,11,0,15,27,107
15.03.2014,2,0,,46,16,1,23,26,0
14.03.2014,0,0,,66,14,0,15,21,0
13.03.2014,2,5,41,56,10,0,14,27,164
12.03.2014,4,1,35,64,3,1,2,15,130
11.03.2014,2,2,39,73,11,1,11,20,153
10.03.2014,3,5,47,88,8,0,9,19,150
09.03.2014,7,6,25,47,6,1,5,44,60
08.03.2014,10,3,36,40,5,0,7,68,90
07.03.2014,5,3,43,73,4,0,4,28,106
06.03.2014,4,0,41,64,9,0,10,18,93
05.03.2014,3,1,49,90,5,0,5,31,107
04.03.2014,7,1,32,81,8,1,7,22,124
02.03.2014,5,3,31,36,8,1,8,29,55
03.03.2014,5,1,48,81,4,0,4,25,106
01.03.2014,4,2,34,39,9,2,7,33,102
28.03.2014,1,3,46,79,15,1,15,69,157
27.02.2014,1,3,42,90,10,0,12,14,115
26.02.2014,3,3,32,82,11,0,13,17,125
25.02.2014,2,0,37,72,4,0,4,16,118
24.02.2014,5,2,45,85,10,2,8,53,117
23.02.2014,3,4,41,35,4,0,4,31,66
22.02.2014,8,1,38,62,10,0,14,34,98
21.02.2014,2,6,54,55,8,0,8,69,116
20.02.2014,2,2,38,77,13,0,19,16,150
19.02.2014,0,3,52,65,4,1,3,15,179
18.02.2014,3,2,46,67,5,1,5,15,120
17.02.2014,5,3,59,86,7,1,7,30,146
16.02.2014,6,8,33,25,5,0,8,29,58
15.02.2014,6,5,36,45,5,0,8,63,101
14.02.2014,3,3,37,70,9,1,11,24,143
13.02.2014,4,2,48,61,12,0,15,10,158
12.02.2014,4,4,39,69,5,0,5,14,161
11.02.2014,2,2,41,66,6,0,8,17,130
09.02.2014,5,3,25,35,6,0,7,28,55
10.02.2014,7,3,53,87,7,1,6,49,129
08.02.2014,8,3,32,57,10,2,14,29,105
07.02.2014,11,1,46,73,8,1,7,46,196
06.02.2014,4,1,45,83,9,0,24,22,160
05.02.2014,6,0,36,88,5,0,5,14,129
04.02.2014,6,1,46,69,7,2,10,18,147
03.02.2014,4,2,54,85,7,1,6,54,158
02.02.2014,4,3,44,33,7,0,12,27,69
01.02.2014,4,0,,47,3,0,4,34,120
31.01.2014,3,0,,67,11,1,12,19,167
30.01.2014,3,4,44,72,6,1,6,15,132
29.01.2014,3,1,40,76,6,1,9,11,127
28.01.2014,7,1,37,74,9,1,10,18,145
27.01.2014,4,0,33,71,6,1,11,22,149
26.01.2014,5,2,28,31,5,0,7,28,70
25.01.2014,4,4,18,34,2,0,2,27,81
24.01.2014,1,1,32,63,8,1,11,12,112
23.01.2014,6,0,42,47,6,0,8,6,127
22.01.2014,2,0,29,56,6,0,7,17,141
21.01.2014,3,1,24,80,6,0,7,14,192
20.01.2014,4,2,53,65,9,1,9,18,177
19.01.2014,3,4,32,22,4,0,9,34,47
18.01.2014,3,0,,41,6,0,12,32,122
17.01.2014,2,0,,73,12,1,14,21,145
16.01.2014,5,3,45,91,5,0,7,17,159
15.01.2014,2,2,45,67,14,0,16,15,155
14.01.2014,3,0,45,92,7,0,7,14,113
13.01.2014,5,2,41,75,9,1,9,24,106
12.01.2014,4,2,30,34,5,0,7,23,63
11.01.2014,6,3,36,44,5,1,5,35,97
10.01.2014,6,1,47,67,8,0,9,28,150
09.01.2014,4,2,43,72,11,0,14,17,139
08.01.2014,6,1,40,52,10,0,10,13,111
07.01.2014,4,2,57,71,10,0,12,22,116
06.01.2014,5,4,44,32,2,0,5,17,53
05.01.2014,3,2,31,34,2,0,4,21,53
04.01.2014,2,1,32,47,10,1,15,19,129
03.01.2014,9,1,33,67,12,1,10,20,114
02.01.2014,0,4,36,54,4,1,4,14,87
01.01.2014,6,10,22,21,5,3,2,31,39
29.12.2013,3,0,33,30,2,0,4,22,48
26.12.2013,3,1,31,16,2,0,2,21,25
25.12.2013,6,3,26,12,2,0,2,15,45
24.12.2013,2,1,22,28,10,0,13,15,145
23.12.2013,4,2,52,59,21,1,22,20,277
22.12.2013,6,1,49,37,4,1,7,33,130
21.12.2013,3,2,42,48,14,1,13,18,180
20.12.2013,4,0,29,67,10,2,11,26,255
19.12.2013,2,3,44,62,17,1,16,18,172
18.12.2013,4,2,36,53,10,2,12,16,192
17.12.2013,4,0,35,78,19,1,20,14,185
15.12.2013,5,5,32,34,12,2,16,29,108
14.12.2013,2,2,41,46,10,2,11,35,146
13.12.2013,7,2,42,81,12,1,13,26,238
12.12.2013,2,3,48,74,18,2,24,29,214
11.12.2013,2,1,38,56,13,1,13,12,153
10.12.2013,3,1,36,83,15,0,16,29,184
09.12.2013,5,2,36,67,24,2,24,51,202
08.12.2013,9,7,29,40,3,0,3,22,94
07.12.2013,4,2,41,33,10,0,11,20,130
06.12.2013,6,0,52,56,7,1,10,12,192
05.12.2013,2,5,41,85,10,0,10,19,185
04.12.2013,5,1,37,64,12,1,11,17,145
03.12.2013,7,1,40,62,8,0,12,17,140
02.12.2013,3,0,36,89,13,2,16,16,179
01.12.2013,5,5,21,35,7,3,5,53,71
30.11.2013,6,4,36,59,9,0,11,36,110
29.11.2013,0,2,47,55,12,1,11,21,183
28.11.2013,3,2,42,67,17,1,23,18,207
27.11.2013,3,1,30,66,15,3,13,18,167
26.11.2013,3,3,47,83,5,0,10,20,149
25.11.2013,2,3,45,60,18,0,20,15,126
24.11.2013,2,5,42,38,8,2,11,27,76
23.11.2013,3,4,41,58,8,2,11,29,94
22.11.2013,2,4,55,77,10,1,11,29,171
21.11.2013,5,2,42,100,11,3,14,23,148
20.11.2013,0,1,35,93,9,0,11,15,210
19.11.2013,5,3,59,61,4,0,5,11,139
18.11.2013,3,1,45,73,10,2,8,41,128
17.11.2013,6,8,36,36,6,1,7,24,72
16.11.2013,7,2,42,74,6,0,9,32,0
15.11.2013,3,1,43,60,7,1,7,18,154
14.11.2013,4,1,29,83,8,3,6,14,158
13.11.2013,1,4,49,65,5,0,5,19,137
11.11.2013,4,1,34,33,1,0,1,29,50
10.11.2013,8,7,27,46,8,0,12,28,74
09.11.2013,5,6,32,51,16,0,26,28,126
08.11.2013,7,1,37,71,12,0,17,29,198
07.11.2013,6,4,44,80,9,2,9,21,162
06.11.2013,4,0,44,81,14,2,16,19,191
05.11.2013,3,1,23,64,13,1,14,11,186
04.11.2013,5,2,65,89,12,0,12,70,163
03.11.2013,9,3,27,31,3,1,7,34,97
02.11.2013,6,4,39,35,10,1,11,38,81
01.11.2013,3,1,30,39,6,1,5,39,101
31.10.2013,3,0,37,71,12,0,16,24,246
30.10.2013,6,2,48,70,9,0,10,25,169
29.10.2013,6,1,45,78,10,0,10,33,122
28.10.2013,5,3,59,96,10,0,14,44,143
27.10.2013,2,6,42,41,10,2,13,53,99
26.10.2013,9,3,33,64,14,0,17,40,123
25.10.2013,1,2,42,81,10,1,15,48,185
24.10.2013,6,0,38,82,16,0,23,42,174
23.10.2013,6,1,43,92,8,0,8,30,161
22.10.2013,3,3,41,82,18,1,20,42,184
21.10.2013,4,1,60,99,20,1,21,54,157
20.10.2013,5,4,24,35,6,0,6,49,79
19.10.2013,3,4,25,60,16,0,19,57,112
18.10.2013,5,0,28,98,11,3,13,0,177
17.10.2013,4,3,33,72,10,0,14,43,170
16.10.2013,8,1,30,79,26,2,30,18,261
15.10.2013,6,3,33,86,10,0,13,73,165
14.10.2013,7,2,47,96,10,1,13,63,164
13.10.2013,2,6,24,42,16,3,18,57,0
12.10.2013,4,3,37,63,11,0,14,52,133
11.10.2013,7,3,41,76,11,2,9,35,209
10.10.2013,8,2,40,90,7,1,7,41,165
09.10.2013,7,1,39,106,14,0,17,27,154
08.10.2013,5,3,45,79,12,0,13,29,158
07.10.2013,5,2,33,91,8,0,9,0,138
06.10.2013,5,4,24,63,11,1,16,36,71
05.10.2013,8,4,35,52,10,1,13,38,119
04.10.2013,5,3,44,83,16,1,15,32,191
03.10.2013,3,0,39,72,8,1,10,21,156
02.10.2013,6,1,35,76,7,0,9,46,151
01.10.2013,4,4,41,80,8,2,10,25,148
30.09.2013,6,2,48,114,9,0,11,27,190
29.09.2013,4,3,22,33,9,0,13,52,90
27.09.2013,11,0,40,90,8,0,13,24,169
26.09.2013,5,2,39,89,12,0,17,23,165
25.09.2013,7,0,45,87,7,0,7,29,150
24.09.2013,6,4,45,101,19,0,23,31,154
23.09.2013,4,3,41,87,14,1,18,20,196
22.09.2013,4,3,23,44,6,0,12,43,59
21.09.2013,7,5,38,71,15,1,17,55,121
20.09.2013,2,0,42,80,11,0,13,31,144
19.09.2013,2,2,41,83,7,1,10,24,156
18.09.2013,2,3,36,82,16,2,16,23,179
17.09.2013,1,2,29,74,16,3,14,17,213
16.09.2013,5,1,40,93,12,0,12,30,182
15.09.2013,3,4,27,44,5,0,8,58,110
14.09.2013,6,3,32,38,7,1,9,35,118
13.09.2013,6,3,27,87,11,0,11,26,204
12.09.2013,7,2,39,98,14,1,18,22,115
11.09.2013,6,1,41,76,12,0,15,36,210
10.09.2013,6,3,36,95,9,0,10,32,161
09.09.2013,5,6,37,82,18,0,27,108,235
08.09.2013,4,6,24,48,9,2,12,49,86
07.09.2013,7,6,30,65,10,2,12,47,120
06.09.2013,4,1,29,118,20,1,25,28,170
05.09.2013,5,1,37,88,7,0,8,34,144
04.09.2013,0,3,42,115,11,1,13,22,134
03.09.2013,6,0,38,93,13,2,16,20,178
02.09.2013,7,2,50,110,11,0,11,28,143
01.09.2013,4,5,29,58,4,0,7,42,79
31.08.2013,6,2,20,68,7,0,9,35,92
30.08.2013,4,2,41,98,12,0,18,12,144
29.08.2013,5,2,41,98,12,0,18,12,144
29.08.2013,5,2,41,98,12,0,18,12,144
28.08.2013,4,0,38,81,10,1,17,17,125
27.08.2013,4,0,38,81,10,1,17,17,125
26.08.2013,3,10,23,42,4,1,8,37,89
25.08.2013,3,10,24,42,4,1,8,37,42
24.08.2013,5,3,29,80,13,0,18,36,87
23.08.2013,8,1,33,93,7,1,8,22,137
22.08.2013,6,3,39,72,11,2,16,18,92
21.08.2013,7,0,43,91,9,1,11,27,111
20.08.2013,5,0,49,98,14,0,20,26,133
19.08.2013,8,4,44,91,11,0,17,84,121
18.08.2013,1,3,18,43,7,0,8,38,68
17.08.2013,4,2,23,48,13,1,15,35,88
16.08.2013,5,3,44,95,13,0,15,31,106
15.08.2013,5,3,20,42,8,0,14,36,64
14.08.2013,1,1,38,95,18,1,19,65,160
13.08.2013,2,3,34,92,10,1,14,30,123
12.08.2013,3,5,42,93,15,1,17,30,139
11.08.2013,6,3,24,32,7,1,11,51,66
10.08.2013,3,1,30,52,9,1,16,35,124
09.08.2013,5,7,28,67,7,0,7,36,167
08.08.2013,4,2,27,116,7,0,10,34,156
07.08.2013,1,2,27,113,6,0,12,37,121
06.08.2013,4,4,40,93,10,0,11,21,154
05.08.2013,4,1,35,110,16,1,22,34,140
04.08.2013,7,1,29,53,11,2,13,62,69
03.08.2013,4,6,32,64,13,1,16,36,92
02.08.2013,3,2,39,94,13,0,15,29,149
01.08.2013,4,0,42,92,9,0,9,23,133
31.07.2013,6,0,39,108,11,0,13,22,131
30.07.2013,5,3,36,91,8,2,9,23,138
29.07.2013,5,2,36,89,12,0,13,81,119
28.07.2013,3,7,16,42,6,0,8,48,81
27.07.2013,8,6,37,50,8,1,8,50,97
26.07.2013,6,3,31,104,14,0,17,38,157
25.07.2013,6,1,35,113,12,2,12,24,130
24.07.2013,6,0,26,82,13,1,12,24,146
23.07.2013,4,4,45,110,17,0,18,29,149
22.07.2013,7,4,40,98,6,0,7,35,147
21.07.2013,7,2,28,57,11,5,13,57,83
20.07.2013,4,1,34,61,13,0,22,51,100
19.07.2013,5,2,35,85,8,0,11,43,152
18.07.2013,7,3,30,85,13,1,13,23,118
17.07.2013,4,1,33,72,14,0,20,24,133
16.07.2013,5,1,36,100,15,0,20,27,129
15.07.2013,4,2,20,50,9,0,9,37,63
14.07.2013,4,2,20,50,9,0,9,37,63
13.07.2013,3,2,21,46,8,1,11,31,153
12.07.2013,6,1,28,88,9,0,9,29,223
11.07.2013,4,2,35,101,12,0,15,34,143
10.07.2013,8,0,38,91,11,1,13,62,143
09.07.2013,4,2,36,85,11,1,14,27,148
08.07.2013,3,4,33,110,10,0,12,46,135
07.07.2013,8,7,21,57,10,1,12,53,111
06.07.2013,4,4,45,45,8,0,9,33,106
05.07.2013,0,2,29,109,14,2,13,46,109
04.07.2013,7,2,45,83,7,1,9,36,130
03.07.2013,6,1,38,102,13,0,14,29,163
02.07.2013,3,4,36,97,11,0,11,28,144
01.07.2013,3,1,31,83,10,3,8,21,139
30.06.2013,3,2,27,34,6,2,6,46,72
29.06.2013,4,6,36,66,15,0,18,42,122
28.06.2013,4,2,37,71,11,0,14,24,196
27.06.2013,1,3,43,88,5,0,6,22,133
26.06.2013,6,1,43,83,10,0,12,14,173
25.06.2013,6,2,42,92,11,1,13,18,153
24.06.2013,8,2,31,109,6,1,9,70,156
23.06.2013,7,4,18,44,14,0,31,46,84
22.06.2013,6,3,37,83,17,1,26,49,173
21.06.2013,4,3,35,93,9,1,16,35,166
20.06.2013,4,3,35,93,9,1,16,35,166
19.06.2013,5,1,31,95,19,0,22,30,168
18.06.2013,8,6,44,97,13,2,14,30,185
17.06.2013,3,3,44,112,6,0,8,28,176
16.06.2013,8,3,22,46,11,1,14,41,75
15.06.2013,4,7,24,52,12,3,12,41,118
14.06.2013,3,8,42,100,14,0,17,31,157
13.06.2013,6,5,52,100,23,0,26,20,182
12.06.2013,11,1,38,93,9,0,12,30,176
11.06.2013,8,3,40,65,14,1,24,19,225
10.06.2013,10,3,51,97,10,0,11,34,170
09.06.2013,2,2,25,56,11,0,15,56,73
08.06.2013,1,6,37,61,14,0,0,50,129
07.06.2013,2,2,47,107,16,1,18,41,158
06.06.2013,2,3,41,78,5,0,6,62,145
05.06.2013,5,4,50,87,8,1,10,27,173
04.06.2013,4,3,39,80,9,1,11,15,164
03.06.2013,2,2,45,95,11,1,13,22,178
02.06.2013,2,0,25,35,7,0,8,45,86
01.06.2013,7,0,27,56,10,0,18,34,116
31.05.2013,7,3,45,90,13,0,21,34,149
30.05.2013,4,4,19,35,4,0,4,24,60
29.05.2013,4,3,39,95,11,0,11,26,211
28.05.2013,4,2,35,80,11,0,13,15,214
27.05.2013,8,6,36,89,8,0,11,68,139
26.05.2013,10,5,30,48,5,0,6,29,91
25.05.2013,2,4,33,74,8,0,12,38,110
24.05.2013,3,4,43,84,5,0,6,36,141
23.05.2013,6,3,33,98,5,0,7,13,99
22.05.2013,5,6,34,101,8,0,9,20,125
21.05.2013,11,5,36,90,10,1,11,31,152
20.05.2013,10,3,50,126,11,1,11,15,174
19.05.2013,2,4,30,46,7,0,10,47,84
18.05.2013,6,5,47,82,21,2,24,39,106
17.05.2013,10,2,42,103,11,0,15,23,129
16.05.2013,5,1,39,100,14,0,16,28,183
15.05.2013,6,4,44,92,15,0,16,20,151
14.05.2013,3,2,45,92,9,0,12,21,172
13.05.2013,2,4,46,107,7,0,7,61,168
12.05.2013,2,5,26,41,7,0,10,29,124
11.05.2013,5,6,29,63,11,0,13,36,142
10.05.2013,3,0,53,98,12,0,14,22,154
09.05.2013,6,0,41,109,7,0,10,19,147
08.05.2013,5,2,51,109,11,1,13,19,156
07.05.2013,5,2,43,106,4,1,4,22,148
06.05.2013,0,2,54,116,8,0,8,17,142
05.05.2013,9,2,39,36,11,0,14,26,74
04.05.2013,2,2,38,50,8,1,17,34,100
03.05.2013,3,1,34,32,3,0,6,35,76
02.05.2013,8,2,33,58,7,0,10,36,154
01.05.2013,6,2,31,41,5,0,8,43,0
30.04.2013,5,1,34,94,11,1,12,28,151
29.04.2013,6,4,42,90,11,0,12,19,132
28.04.2013,3,5,20,31,5,0,7,27,67
27.04.2013,2,2,32,64,7,1,9,45,107
26.04.2013,3,0,44,90,15,1,28,28,198
25.04.2013,4,2,36,112,13,0,19,28,152
24.04.2013,4,4,36,73,12,0,13,28,134
23.04.2013,5,2,45,96,8,1,7,31,133
22.04.2013,4,3,50,97,4,0,7,75,145
21.04.2013,4,5,48,42,7,1,7,39,68
20.04.2013,8,3,45,57,9,0,13,51,92
19.04.2013,0,3,37,89,9,0,12,42,166
18.04.2013,2,4,45,85,14,0,16,22,167
17.04.2013,6,2,34,94,12,0,12,33,169
16.04.2013,4,2,38,94,9,2,8,33,193
15.04.2013,5,1,55,100,11,0,16,28,133
14.04.2013,3,5,33,43,17,0,19,38,81
13.04.2013,5,3,31,58,9,0,11,36,108
12.04.2013,8,2,44,75,8,0,10,24,145
11.04.2013,5,2,42,75,9,1,15,27,153
10.04.2013,2,0,32,87,6,0,7,37,146
09.04.2013,0,2,45,78,9,0,13,16,168
08.04.2013,5,2,49,97,5,1,4,24,168
07.04.2013,5,2,28,29,2,0,3,38,64
06.04.2013,4,0,45,58,2,0,3,40,101
05.04.2013,4,0,36,78,6,1,5,0,163
04.04.2013,5,1,33,85,5,0,5,11,154
03.04.2013,7,2,37,62,8,0,10,18,211
02.04.2013,4,0,59,72,5,0,6,33,177
01.04.2013,0,0,13,10,2,0,8,16,67
31.03.2013,2,2,22,10,6,0,16,9,113
30.03.2013,5,4,28,47,5,0,5,30,87
29.03.2013,6,0,33,80,12,3,12,41,219
28.03.2013,5,1,43,89,3,0,3,28,147
27.03.2013,5,2,36,82,8,1,9,21,133
26.03.2013,4,2,77,40,3,0,3,20,130
25.03.2013,0,2,50,103,7,1,7,96,128
24.03.2013,3,1,24,31,2,0,2,28,70
23.03.2013,3,2,31,54,7,0,10,27,88
22.03.2013,6,4,43,82,10,1,15,19,219
21.03.2013,7,2,39,87,4,1,5,23,167
20.03.2013,7,1,38,68,6,0,7,19,182
19.03.2013,7,1,38,68,6,0,7,19,182
18.03.2013,5,2,49,79,5,0,6,17,133
17.03.2013,3,2,28,26,5,1,5,26,76
16.03.2013,3,4,42,63,5,0,5,30,80
15.03.2013,0,1,,0,4,0,6,33,140
14.03.2013,1,2,32,92,2,0,2,24,177
13.03.2013,2,1,43,61,8,2,8,16,142
12.03.2013,2,1,43,78,5,1,4,23,156
11.03.2013,2,1,46,91,11,0,13,79,145
10.03.2013,3,6,34,38,0,0,0,38,74
09.03.2013,3,5,40,56,5,0,5,114,116
08.03.2013,2,2,50,81,10,1,11,36,152
07.03.2013,0,4,52,98,18,1,23,20,155
06.03.2013,5,2,67,92,11,1,15,40,152
05.03.2013,2,2,46,103,6,0,7,26,165
03.03.2013,5,5,25,36,3,0,5,32,55
02.03.2013,9,3,43,62,13,0,16,37,74
01.03.2013,8,5,43,101,15,0,17,22,144
28.02.2013,1,3,51,93,4,0,5,17,0
27.02.2013,13,1,52,89,2,1,1,21,118
26.02.2013,2,3,50,87,9,1,8,18,133
25.02.2013,7,3,45,94,9,0,11,27,116
